Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
41	1	-3712.69	-3714.68	1.98995	0.6074354	0.1890444	0.133462	0.200203	0.250672	0.145499	0.197044	0.153131	0.164337	0.435125	0.169841	0.0596813	0.213624	0.215765	0.243649	0.106572	0.223578	0.0905723	0.0545426	0.313499	0.1375008	0.2552337	0.0100581	0.564349	0.00474495	0.00423132	0.409429	0.00718826	0.004108349	-1.984125	0.000356	0.0277039	0.354465	3.61747	0.291486	0.318004	0.122794	0.267716	0.259342	0.01584143
42	0	-3707.706	-3711.855	4.148725	0.5732275	0.1856603	0.128843	0.0725607	0.247779	0.116446	0.165585	0.129579	0.0859476	0.590803	0.210711	0.0747258	0.280011	0.174337	0.0988802	0.064627	0.210205	0.172432	0.0921993	0.109585	0.1280038	0.2069705	0.0137231	0.485108	0.0105612	0.0168481	0.4714	0.00235878	0.06361999	-2.055695	0.000311605	0.025934	0.34521	3.62854	0.297405	0.306281	0.137419	0.258895	0.2705905	0.2351154
43	1	-3708.652	-3710.693	2.040788	0.4642371	0.1661303	0.118369	0.10439	0.245402	0.219915	0.19614	0.157178	0.199342	0.704358	0.1365	0.0981644	0.135815	0.279496	0.259616	0.223587	0.216446	0.071616	0.13613	0.163396	0.1570269	0.2209783	0.0139056	0.561203	0.0111627	0.0061679	0.405217	0.00234334	0.01716464	-1.851338	0.000129896	0.0167974	0.289772	3.6933	0.271964	0.318211	0.141935	0.26789	0.2381429	0.07207705
44	0	-3709.121	-3712.753	3.632314	0.5826469	0.1737306	0.21102	0.151414	0.378364	0.111573	0.114561	0.166259	0.0519008	0.435123	0.128727	0.151465	0.287225	0.226815	0.107394	0.0998125	0.191979	0.0705262	0.128248	0.146117	0.1760027	0.08786899	0.00736899	0.489161	0.0101934	0.016976	0.475339	0.000961895	0.07219649	-1.737256	0.000186922	0.0201259	0.311736	3.66795	0.295149	0.297951	0.127375	0.279525	0.1600655	0.4510435
45	1	-3712.901	-3710.696	-2.204765	0.4659474	0.1915513	0.119724	0.0665563	0.356775	0.166195	0.253135	0.178153	0.126188	0.58535	0.163935	0.0840528	0.0297412	0.55882	0.112953	0.0816228	0.408839	0.170515	0.22923	0.115942	0.1558956	0.02697946	0.00664897	0.582865	0.00984563	0.00489352	0.393888	0.00185956	0.01459448	-1.858569	0.000391724	0.029048	0.36125	3.60931	0.309992	0.295537	0.132463	0.262008	0.04157394	0.3510487
46	0	-3706.962	-3711.808	4.84693	0.5305705	0.1756827	0.146155	0.0882582	0.248328	0.110803	0.104564	0.178395	0.0632004	0.430164	0.176922	0.0738711	0.312201	0.361591	0.164484	0.0924715	0.0884776	0.254799	0.206803	0.0859955	0.157528	-0.001678074	0.00789952	0.502317	0.00998438	0.0185694	0.46062	0.000610175	0.04811082	-1.848152	0.000204195	0.0210286	0.3173	3.66147	0.30852	0.305045	0.116954	0.269481	0.04643274	1.03614
47	1	-3714.804	-3710.507	-4.296824	0.4379915	0.146991	0.0766424	0.0663313	0.322466	0.162481	0.266107	0.244152	0.188235	0.734533	0.160929	0.106099	0.391498	0.421184	0.106876	0.120285	0.493159	0.121225	0.159808	0.27041	0.2369815	0.03164031	0.00479592	0.566662	0.0142359	0.00534162	0.407965	0.00099973	0.03380808	-1.439773	4.39494e-05	0.00979758	0.232732	3.75743	0.300224	0.308979	0.132566	0.258231	0.06544839	0.5165609
48	0	-3703.114	-3709.046	5.932771	0.6093857	0.201022	0.0705219	0.0723928	0.193912	0.112299	0.12865	0.131749	0.076065	0.325746	0.176577	0.0708897	0.31005	0.305372	0.0963736	0.0612717	0.195452	0.264579	0.134589	0.171753	0.1379074	0.1363222	0.00911882	0.585156	0.0115255	0.0136019	0.380026	0.000572025	0.03376135	-1.981173	0.000550178	0.0343672	0.38632	3.57876	0.308048	0.295319	0.129497	0.267137	0.1700836	0.1984986
49	1	-3707.661	-3704.509	-3.151882	0.3884821	0.1785878	0.112263	0.0511469	0.377599	0.188537	0.169873	0.152769	0.135621	0.546169	0.146848	0.0620263	0.295428	0.293384	0.574318	0.180867	0.22408	0.112887	0.20288	0.159346	0.2456656	-0.02280192	0.00752841	0.50029	0.0115957	0.00631055	0.471023	0.00325197	0.03778377	-1.403784	0.000232068	0.0224073	0.32552	3.65184	0.304021	0.297708	0.132392	0.265879	0.01498185	2.521969
50	0	-3711.026	-3717.373	6.347288	0.5451544	0.222053	0.147171	0.146173	0.338107	0.134633	0.0963785	0.228392	0.0753495	0.342171	0.152602	0.101992	0.28021	0.21148	0.237691	0.0738531	0.153367	0.167949	0.222538	0.0949593	0.1409962	-0.02257022	0.00769502	0.579434	0.0162819	0.0197892	0.37631	0.000490244	0.05185016	-1.959022	0.00105434	0.0473875	0.438737	3.51282	0.300052	0.282289	0.131364	0.286295	0.02927994	1.770843
51	1	-3712.42	-3710.608	-1.811947	0.3080698	0.1750019	0.12046	0.116968	0.458677	0.249331	0.24047	0.23027	0.179447	0.437005	0.143547	0.0515602	0.23144	0.392958	0.419444	0.330228	0.138434	0.189592	0.132636	0.0726715	0.1611678	0.08023522	0.014493	0.587837	0.00967176	0.0056046	0.380138	0.00225591	0.009504289	-1.825309	0.000198041	0.0207116	0.315363	3.66373	0.281924	0.298453	0.13198	0.287643	0.08973951	0.1059098
