Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
35	1	-3720.87	-3709.723	-11.14646	0.348	0.2209458	0.331133	0.260161	0.0359999	0.214149	0.459067	0.260244	0.423467	0.169989	0.062686	0.88808	0.0267129	0.200033	0.192163	0.0987774	0.324207	0.0259857	0.573029	0.519349	0.3470186	-0.02465821	0.0085957	0.548386	0.00580889	0.0145766	0.419032	0.00360096	0.05409139	0.00102201	0.0466652	0.43609	3.51622	0.291902	0.323945	0.116222	0.267932	0.02943318	1.837769
36	0	-3726.82	-3713.343	-13.47664	0.7582936	0.1844427	0.609671	0.426138	0.118603	0.0883637	0.239007	0.555423	0.240821	0.543138	0.890535	0.0698048	0.293688	0.228321	0.397316	0.0377316	0.00277829	0.134993	0.00558168	0.597487	0.3005367	0.2072693	0.0122289	0.493968	0.0107847	0.0064056	0.469844	0.00676823	0.02451722	0.000296668	0.0253101	0.341853	3.63254	0.315485	0.297626	0.126122	0.260767	0.2317866	0.105775
37	1	-3720.345	-3708.8	-11.54493	0.6493459	0.1640443	0.0985438	0.356031	0.176041	0.371912	0.614984	0.488136	0.444484	0.086305	0.0717241	0.591741	0.218882	0.235847	0.144683	0.0697535	0.0350571	0.165472	0.517072	0.289827	0.3480712	0.06146185	0.0121982	0.544685	0.00509655	0.0100366	0.424994	0.00299039	0.04077179	0.000116854	0.0159369	0.283666	3.70028	0.310052	0.298794	0.125796	0.265359	0.1022336	0.3988099
38	0	-3712.616	-3709.927	-2.688856	0.461842	0.1787799	0.245899	0.252754	0.0930972	0.129259	0.162104	0.328368	0.23772	0.536967	0.278857	0.05524	0.252999	0.240912	0.12131	0.0611459	0.167699	0.06308	0.00683157	0.146959	0.2119167	0.02275773	0.0137622	0.497426	0.00799525	0.00351625	0.473133	0.00416657	0.05078238	0.000234004	0.0224999	0.326061	3.65121	0.321477	0.29133	0.122575	0.264618	0.07354011	0.6905399
39	1	-3721.196	-3707.736	-13.45981	0.2870514	0.1790595	0.443258	0.330972	0.029167	0.0745723	0.759726	0.367989	0.371158	0.145438	0.0457459	0.70773	0.699564	0.0814473	0.252954	0.249218	0.118704	0.0255304	0.120308	0.906334	0.3206838	0.08904219	0.0114682	0.546745	0.00375939	0.00825884	0.426601	0.00316844	0.03669456	0.000236846	0.0226351	0.326847	3.65028	0.314977	0.300766	0.124597	0.25966	0.1257368	0.2918364
40	0	-3714.178	-3711.763	-2.415219	0.539622	0.2144657	0.264374	0.0666488	0.0298881	0.116833	0.141793	0.222203	0.158924	0.340797	0.519778	0.0912162	0.0769944	0.476361	0.200133	0.124283	0.129306	0.112637	0.185175	0.0994935	0.1842903	-0.06181482	0.0192075	0.509695	0.00768909	0.002753	0.456386	0.00426933	0.1033927	0.000846208	0.0425153	0.420348	3.53629	0.288565	0.314614	0.124431	0.27239	0.04157792	2.486722
41	1	-3729.172	-3710.831	-18.34088	0.4193399	0.1831347	0.20288	0.179279	0.0242187	0.0727736	0.388161	0.171926	0.36764	0.115748	0.0481898	0.444972	0.337733	0.315128	0.248998	0.276659	0.135886	0.261447	0.421547	0.425314	0.6130388	0.05319168	0.0113917	0.553883	0.00364419	0.00512079	0.423875	0.0020859	0.1010058	0.000281213	0.0246474	0.338232	3.63684	0.329443	0.286289	0.134527	0.249741	0.1541975	0.6550418
42	0	-3722.388	-3711.423	-10.96499	0.5389641	0.2033213	0.246318	0.0469738	0.0348049	0.250372	0.465231	0.581488	0.32523	0.293019	0.237796	0.0811717	0.20861	0.129576	1.59184	0.111812	0.308668	0.0106943	0.0146769	0.217468	0.2987335	-0.04476637	0.0152704	0.497842	0.00814685	0.00543698	0.469104	0.00419959	0.08069255	0.000594618	0.0357132	0.39227	3.57142	0.292501	0.295993	0.14381	0.267696	0.03592619	2.246065
43	1	-3726.874	-3710.452	-16.42213	0.3234214	0.1587104	0.1694	0.240788	0.119335	0.125364	0.660689	0.350626	0.468848	0.22785	0.0622988	0.801505	0.239041	0.16483	0.217218	0.128367	0.322351	0.536312	0.206277	0.471724	0.1714521	0.1485943	0.0110287	0.554793	0.00398726	0.00514522	0.424571	0.000474817	0.08924811	8.80319e-05	0.0138435	0.267914	3.71815	0.299602	0.30628	0.136415	0.257703	0.2378424	0.3752405
44	0	-3714.139	-3709.541	-4.597718	0.6083158	0.1704321	0.105552	0.0719474	0.0644166	0.167317	0.1962	0.24128	0.240855	0.533947	0.130296	0.0756211	0.222974	0.0363	0.290441	0.0338373	0.625669	0.0355326	0.00378659	0.450778	0.1460106	-0.1895677	0.0117594	0.568585	0.00724758	0.0137115	0.395409	0.00328714	0.2048667	0.00016025	0.0186445	0.302261	3.67893	0.29084	0.29402	0.133086	0.282054	0.01529896	13.39089
45	1	-3718.085	-3709.173	-8.912306	0.4525438	0.1655369	0.133428	0.173221	0.0295347	0.0471363	0.681279	0.474553	0.210564	0.0980432	0.0324551	0.634403	0.0715903	0.0440797	0.208245	0.399397	0.0210526	0.615827	0.174192	0.358198	0.2748995	0.1040591	0.0113162	0.554427	0.00430568	0.00540878	0.424291	0.000250591	0.0501609	0.000126079	0.0165502	0.288039	3.69529	0.314091	0.310204	0.119739	0.255967	0.15422	0.3252556
