Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
790	-3740.785	-3721.624	-19.16105	0.1639924	0.1543092	0.4270674	-0.148086	0.0110046	0.518902	0.00389986	0.00844313	0.451911	0.00583923	0.3019185	6.86634e-05	0.0122339	0.254782	3.73292	0.312918	0.295214	0.128314	0.263553	0.1538325	1.962645
800	-3738.215	-3721.502	-16.71334	0.1617411	0.1673242	0.4256133	-0.05198011	0.0088049	0.485846	0.00262479	0.0131176	0.487735	0.00187134	0.09553175	0.000137841	0.0173002	0.293253	3.68931	0.3127	0.285696	0.135857	0.265748	0.04355163	2.193528
810	-3740.123	-3723.598	-16.52487	0.2150933	0.1553494	0.3138633	-0.187243	0.00907914	0.468929	0.00931331	0.00689686	0.502927	0.00285469	0.2158413	7.29096e-05	0.0126046	0.257896	3.72943	0.309479	0.305646	0.134457	0.250417	0.02859832	7.547341
820	-3738.184	-3722.728	-15.45677	0.2150811	0.1858205	0.2884355	0.1164809	0.0130716	0.504809	0.0182538	0.00491591	0.455775	0.00317517	0.01416478	0.000313611	0.0260167	0.345651	3.62802	0.318651	0.301017	0.124517	0.255815	0.1306457	0.1084213
830	-3735.354	-3720.517	-14.83734	0.2089341	0.1789501	0.2912007	0.04444786	0.0107994	0.561907	0.0120475	0.00426403	0.407811	0.00317047	0.01129709	0.000235731	0.0225821	0.32654	3.65064	0.30262	0.305877	0.137734	0.253768	0.05574495	0.2026567
840	-3737.626	-3721.431	-16.19461	0.2391054	0.2059606	0.3044481	-0.2041171	0.0100212	0.566783	0.00487861	0.00422447	0.41135	0.00274224	0.2106032	0.000648683	0.0372834	0.399035	3.56303	0.306192	0.294887	0.141088	0.257832	0.006486054	32.47016
850	-3739.429	-3723.234	-16.19501	0.1881964	0.2081713	0.3751816	-0.01092253	0.0106684	0.463018	0.00784975	0.00440175	0.508762	0.00530046	0.07171548	0.000696546	0.0386185	0.404646	3.55604	0.299457	0.303513	0.137115	0.259915	0.06079294	1.179668
860	-3739.099	-3724.058	-15.04093	0.1862269	0.160274	0.3375636	-0.01035474	0.0105884	0.564867	0.00868087	0.00538623	0.404519	0.00595897	0.02277691	9.58403e-05	0.0144411	0.272551	3.71291	0.271958	0.315515	0.145077	0.267449	0.01242217	1.833569
870	-3739.951	-3722.212	-17.73935	0.2041818	0.2042221	0.2882149	0.2930509	0.0142989	0.557113	0.00809926	0.00403287	0.398966	0.0174896	0.0648794	0.0006127	0.0362462	0.394587	3.56855	0.298066	0.294652	0.12937	0.277912	0.3579303	0.1812627
880	-3742.669	-3727.086	-15.58251	0.2060397	0.1930002	0.2894594	0.01163346	0.00926796	0.540588	0.00855905	0.00313911	0.421615	0.0168302	0.07495121	0.000413515	0.0298374	0.365143	3.60461	0.315662	0.292361	0.12571	0.266267	0.08658467	0.8656406
890	-3741.279	-3725.612	-15.66674	0.202324	0.1761615	0.2770578	-0.1174261	0.0132786	0.557278	0.0117487	0.00332199	0.397022	0.0173499	0.1525257	0.000208608	0.021253	0.31866	3.65988	0.292799	0.28994	0.138604	0.278656	0.03509953	4.345519
900	-3739.744	-3723.053	-16.69097	0.2151954	0.1875447	0.3685221	0.08229243	0.010029	0.562037	0.0113011	0.00377637	0.400413	0.0124436	0.05864743	0.000335794	0.0269132	0.350377	3.62237	0.300559	0.302203	0.121714	0.275524	0.1409399	0.4161167
