Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
41	1	-3741.155	-3726.164	-14.99112	0.2637622	0.187301	0.2721868	0.001258718	0.00561454	0.472877	0.0168154	0.00634337	0.497223	0.0011267	0.05342089	0.000332592	0.0267856	0.349711	3.62317	0.3066	0.274481	0.153115	0.265804	0.05467961	0.9769801
42	0	-3736.296	-3721.53	-14.7658	0.2581386	0.2207789	0.2682912	-0.04096275	0.00865769	0.472021	0.01333	0.00936939	0.494232	0.00239029	0.06219822	0.0010172	0.0465567	0.43569	3.51674	0.319919	0.284613	0.145684	0.249784	0.02123547	2.928978
43	1	-3749.374	-3733.777	-15.59706	0.2791855	0.2126719	0.2469241	-0.009388564	0.00681117	0.573661	0.00786654	0.00687601	0.404163	0.000622001	0.1097565	0.000801492	0.0413908	0.415914	3.54189	0.297565	0.30911	0.14861	0.244716	0.1003679	1.093541
44	0	-3736.423	-3721.599	-14.82422	0.24992	0.2336266	0.3055529	-0.03107201	0.00782218	0.522772	0.0105287	0.00663909	0.449782	0.00245595	0.03842251	0.00143445	0.0551473	0.465662	3.47776	0.304319	0.310844	0.126083	0.258754	0.007350498	5.227198
45	1	-3739.908	-3723.984	-15.92402	0.2068898	0.1775988	0.3368683	-0.02748938	0.00865565	0.553332	0.0108757	0.00703127	0.419604	0.000501612	0.08888315	0.000222281	0.0219333	0.32273	3.65511	0.30898	0.298923	0.137992	0.254104	0.06139377	1.447755
46	0	-3737.282	-3721.705	-15.57646	0.2668202	0.2163046	0.2537815	-0.03662433	0.0152754	0.516579	0.008273	0.00895989	0.444454	0.00645886	0.1169065	0.000893804	0.0436792	0.424859	3.53057	0.30553	0.310536	0.127305	0.256629	0.08028215	1.456195
47	1	-3744.687	-3728.272	-16.41518	0.2209279	0.2276606	0.3198257	-0.07587248	0.00837386	0.520547	0.00820237	0.00753478	0.45449	0.000852176	0.1527634	0.00122876	0.0511009	0.451951	3.49572	0.331449	0.272167	0.130332	0.266052	0.07689092	1.986755
48	0	-3733.795	-3718.297	-15.49737	0.264929	0.2092057	0.27216	0.05313982	0.0168973	0.515345	0.00920865	0.00457027	0.452133	0.00184561	0.05606156	0.000719766	0.0392494	0.407254	3.55278	0.285462	0.314094	0.140802	0.259643	0.1092014	0.5133777
49	1	-3736.985	-3721.101	-15.8845	0.2336859	0.1783083	0.3238308	-0.1067917	0.0124353	0.50494	0.00893905	0.00436621	0.468924	0.00039589	0.1318982	0.00022927	0.0222729	0.324732	3.65277	0.304457	0.284762	0.132416	0.278364	0.02510656	5.253538
50	0	-3733.377	-3717.78	-15.59655	0.2634025	0.2083319	0.2796285	-0.03810887	0.011921	0.496645	0.0093979	0.0108732	0.467823	0.00333944	0.1039347	0.000700117	0.0387162	0.405051	3.55553	0.315038	0.299524	0.135562	0.249877	0.06582586	1.578935
51	1	-3743.153	-3727.685	-15.4683	0.2396139	0.2261471	0.3089622	-0.07789515	0.0129085	0.451701	0.00705693	0.00460419	0.523347	0.000382084	0.100994	0.0011799	0.0500897	0.448415	3.50031	0.288422	0.288454	0.15247	0.270654	0.02309889	4.372246
52	0	-3736.017	-3720.644	-15.37348	0.2603965	0.2018323	0.2680797	0.09542643	0.0116692	0.560663	0.00318642	0.0122747	0.403401	0.00880526	0.03087003	0.00056556	0.0348392	0.388423	3.57617	0.285217	0.291171	0.136724	0.286887	0.1262965	0.2444251
53	1	-3747.289	-3732.02	-15.26887	0.2629991	0.2200867	0.2416315	0.089928	0.0164	0.445638	0.0108807	0.0081946	0.518573	0.00031333	0.04348174	0.000997391	0.0461074	0.434027	3.51887	0.283283	0.301057	0.145864	0.269796	0.1334097	0.3259263
54	0	-3738.77	-3722.606	-16.16394	0.256976	0.2032636	0.278245	0.03834034	0.0158032	0.508943	0.00357408	0.0100178	0.452478	0.00918369	0.1000228	0.000593473	0.0356792	0.392122	3.57161	0.312084	0.312426	0.133	0.242489	0.1383631	0.7229006
55	1	-3739.976	-3723.519	-16.45656	0.2503895	0.2178655	0.2660032	0.1768504	0.019486	0.502537	0.00558901	0.0100066	0.462025	0.000356202	0.05454309	0.000935614	0.0446758	0.42866	3.52573	0.296883	0.299903	0.142195	0.261019	0.2313935	0.2357157
56	0	-3743.962	-3725.113	-18.84862	0.266548	0.1654262	0.3124331	-0.08623541	0.0173575	0.497745	0.00343452	0.00746819	0.457982	0.016013	0.2985351	0.000125376	0.0165043	0.287715	3.69566	0.29344	0.312887	0.139642	0.254031	0.2122997	1.406197
57	1	-3740.887	-3724.57	-16.31742	0.2591843	0.2098737	0.2682633	-0.1185301	0.0156404	0.516896	0.00329584	0.00985701	0.453988	0.000323117	0.1920648	0.000735044	0.0396588	0.408932	3.55067	0.281032	0.303236	0.133932	0.281801	0.07353468	2.611894
58	0	-3739.884	-3720.941	-18.94291	0.2468564	0.1756589	0.265672	0.1867479	0.0100172	0.504581	0.00412539	0.00281513	0.464271	0.0141905	0.1913441	0.000203978	0.0210175	0.317233	3.66155	0.288147	0.312475	0.129346	0.270032	0.378092	0.5060781
59	1	-3738.353	-3721.907	-16.4459	0.2150746	0.1874539	0.2932292	0.1132815	0.00807209	0.608005	0.0052181	0.00954866	0.368799	0.000357773	0.07347048	0.000334598	0.0268656	0.350129	3.62267	0.315203	0.28495	0.129557	0.27029	0.186752	0.3934121
60	0	-3743.258	-3723.693	-19.56479	0.2062444	0.1909536	0.3336177	0.334307	0.0181706	0.495465	0.00461137	0.00192418	0.465598	0.0142311	0.1257007	0.000382982	0.028725	0.359638	3.61125	0.289859	0.320608	0.130846	0.258687	0.4600077	0.2732578
61	1	-3736.888	-3719.449	-17.43886	0.2207706	0.1909779	0.3279382	-0.2259248	0.0130547	0.534812	0.012235	0.00704446	0.430835	0.0020185	0.2832255	0.000383335	0.0287381	0.359704	3.61117	0.293473	0.294008	0.128566	0.283953	0.0573007	4.942794
62	0	-3741.042	-3722.098	-18.94427	0.2636098	0.204718	0.2632552	0.1517892	0.019015	0.472864	0.00746434	0.00247966	0.487234	0.0109428	0.2080931	0.000622817	0.0365409	0.395859	3.56698	0.30311	0.312638	0.131996	0.252256	0.3598824	0.5782254
63	1	-3742.624	-3728.197	-14.42659	0.2232127	0.2042646	0.26595	0.004508453	0.0120903	0.551589	0.00994956	0.00869536	0.416887	0.000789422	0.02039808	0.000613563	0.0362714	0.394696	3.56842	0.304718	0.301176	0.130513	0.263593	0.02490654	0.8189851
64	0	-3742.602	-3724.743	-17.85872	0.257766	0.1973248	0.3008644	-0.20016	0.0173313	0.535579	0.00655494	0.00138038	0.428813	0.0103419	0.3018082	0.000483728	0.0322465	0.37664	3.59063	0.329621	0.29912	0.126288	0.244972	0.1016482	2.969143
