Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
350	-8.481317	0	-8.481317	4.596849	302624.4	0.0587225	0.0589316	0.0276193	0.0149024	0.124048	0.048979	0.0996608	0.218705	0.00192442	0.247068	0.0720129	0.0554135	0.101008	0.0720456	0.0243414	0.158296	0.0495503	0.0639858	0.1047941	0.08085351	0.093174	0.436298	0.337953	0.0259694	0.0193556	0.0872504	6.245267	0.06679041	0.99769	0.999409	1.00059	1.00231	0.451789	0.284844	0.0891034	0.174263	0.1476439	0.4523749
360	9.907097	0	9.907097	1.580857	731267.3	0.01847	0.0351569	0.0195506	0.0118842	0.0460998	0.00734024	0.0075918	0.00565531	0.0037576	0.0459488	0.125778	0.0115428	0.0327366	0.021286	0.0249891	0.0349256	0.0754913	0.0353268	0.02869386	0.09682363	0.0601462	0.333761	0.38206	0.0428497	0.0159576	0.165225	13.19857	0.2343784	0.998514	0.99962	1.00038	1.00149	0.521581	0.214624	0.0135661	0.250229	0.3312021	0.7076599
370	23.10712	0	23.10712	1.104953	317408.2	0.00647813	0.0146006	0.00892937	0.00185591	0.0161918	0.00443009	0.0291774	0.0386758	0.0104326	0.0424947	0.0102755	0.0071873	0.0863634	0.0158038	0.109252	0.0221256	0.00718417	0.0520589	0.03620626	0.08261738	0.0783391	0.338883	0.335512	0.0389059	0.0635571	0.144803	1.908594	0.09125093	0.997745	0.999423	1.00058	1.00226	0.295251	0.250519	0.139174	0.315056	0.1738683	0.5248278
380	33.67512	0	33.67512	1.742579	310338.9	0.00194056	0.0140878	0.0586134	0.0055056	0.000735368	0.00175635	0.00327571	0.0456565	0.00903459	0.0175209	0.0013593	0.000356433	0.00384422	0.0336263	0.0254736	0.00450572	0.0271769	0.00482445	0.0197816	0.08940329	0.20162	0.427435	0.0678712	0.0357994	0.105708	0.161566	2.503883	0.03921475	0.997719	0.999416	1.00058	1.00228	0.33675	0.486197	0.0612183	0.115835	0.128618	0.3048931
390	26.59092	0	26.59092	1.38722	398609.8	0.0643362	0.01105	0.00585137	0.0606869	0.0135512	0.00201179	0.000835807	0.0362732	0.00481554	0.00366415	0.00453752	0.0467084	0.0139282	0.0259321	0.037744	0.032734	0.0108876	0.00237503	0.0194379	0.1466409	0.062806	0.437016	0.154877	0.0214883	0.222854	0.100959	2.143424	0.101346	0.997987	0.999485	1.00051	1.00201	0.166206	0.481858	0.0559662	0.295971	0.2479869	0.4086747
400	35.52719	0	35.52719	1.306115	855920.8	0.0194861	0.0125325	0.00547403	0.00680212	0.00544683	0.000464002	0.00118549	0.00674116	0.0163888	0.00777153	0.000875865	0.00035877	0.00743639	0.0224137	0.0044422	0.00670947	0.00918424	0.00576538	0.007498311	0.2794078	0.041542	0.487978	0.190751	0.0143606	0.127792	0.137577	47.86043	0.3351861	0.998626	0.999649	1.00035	1.00137	0.0886071	0.198308	0.150755	0.56233	0.6145939	0.5453781
410	22.29572	0	22.29572	6.36827	488605.5	0.041688	0.0113801	0.0372122	0.00688455	0.00725068	0.00138141	0.00732561	0.0264226	0.0221605	0.000502672	0.0272875	0.0127466	0.000679411	0.00390057	0.0307795	0.00956565	0.0199061	0.0228299	0.01816514	-0.1263856	0.026922	0.218082	0.261238	0.0224833	0.211187	0.260087	7.686731	0.1437076	0.998182	0.999535	1.00046	1.00182	0.283595	0.16529	0.0732506	0.477865	0.01732203	8.296233
420	15.5262	0	15.5262	3.31526	591452.8	0.0114134	0.00686648	0.0406906	0.043545	0.0164228	0.00441274	0.0314419	0.0147723	0.0100244	0.0124291	0.0596469	0.00564208	0.0410923	0.0226688	0.0472447	0.00529495	0.0330707	0.00616449	0.03246078	-0.05040346	0.0127733	0.436397	0.115463	0.0131584	0.278369	0.143839	9.109508	0.05994501	0.998348	0.999577	1.00042	1.00165	0.490077	0.0609625	0.400081	0.0488794	0.009541551	6.282522
430	-0.000299122	0	-0.000299122	3.963274	953863.4	0.0237284	0.0241235	0.0947284	0.0352388	0.0658485	0.0379421	0.0300976	0.113757	0.0362369	0.0468567	0.0238231	0.0178742	0.295822	0.0282589	0.0683169	0.00500957	0.00335567	0.0154304	0.04279129	0.04849714	0.00784031	0.11538	0.0737204	0.0512346	0.331642	0.420182	10.31575	0.02139199	0.998699	0.999667	1.00033	1.0013	0.647337	0.0217143	0.310957	0.0199924	0.06988913	0.3060847
440	18.06163	0	18.06163	4.704478	685087.4	0.0155033	0.0499047	0.0146415	0.0246433	0.0177527	0.0262911	0.0374229	0.0694095	0.0362714	0.00495525	0.0324941	0.0258305	0.0176275	0.011765	0.00453004	0.0316655	0.000104397	0.0116453	0.02228723	0.001596432	0.032548	0.247109	0.0625249	0.147202	0.345423	0.165193	6.133663	0.04687165	0.998465	0.999607	1.00039	1.00154	0.39272	0.236583	0.303297	0.0674001	0.04846808	0.9670622
450	5.544858	0	5.544858	27.1921	936111.6	0.0381911	0.00357132	0.0533723	0.00133375	0.00581474	0.066964	0.0114181	0.0232486	0.0154142	0.0296541	0.0433117	0.00125315	0.0621423	0.00141819	0.0370111	0.0363204	0.0093688	0.0159795	0.04008624	0.01336763	0.0474256	0.0936739	0.08836	0.25045	0.319296	0.200795	35.7631	0.1349397	0.998687	0.999664	1.00034	1.00131	0.0800098	0.446773	0.175366	0.297851	0.1483073	0.9098654
460	-12.07235	0	-12.07235	7.006646	646314.4	0.0206179	0.075272	0.0864513	0.00194775	0.146825	0.0168772	0.0580387	0.152305	0.236302	0.132924	0.281193	0.0468319	0.228654	0.03186	0.107963	0.0218981	0.149052	0.0562054	0.0809243	0.000732542	0.0136066	0.110705	0.160528	0.203971	0.302252	0.208937	8.396183	0.06610472	0.998419	0.999596	1.0004	1.00158	0.133277	0.126814	0.24779	0.492119	0.06683726	0.9890399
470	-8.494195	0	-8.494195	5.151077	289401.6	0.00241854	0.243679	0.212499	0.0317088	0.038261	0.00478754	0.091572	0.185098	0.243876	0.0520264	0.0281339	0.02511	0.192952	0.0655394	0.0274089	0.113684	0.00456145	0.0566899	0.07357619	-0.2022938	0.00803288	0.161413	0.398543	0.082668	0.24824	0.101103	6.065832	0.2111712	0.997638	0.999396	1.0006	1.00236	0.184556	0.272645	0.0688494	0.473949	0.008877343	23.78765
